  n v                   Fn         time
 75  3     2111485077978050  0.000000000
 75  4     2111485077978056  0.000000000
--- -- -------------------- ------------
 76  2     3416454622906707  0.000000000
 76  3     3416454622906707  0.000000000
 76  4     3416454622906715  0.000000000
--- -- -------------------- ------------
 77  2     5527939700884757  0.000000000
 77  3     5527939700884757  0.000000000
 77  4     5527939700884766  0.000000000
--- -- -------------------- ------------
 78  2     8944394323791464  0.000000000
 78  3     8944394323791464  0.000000000
 78  4     8944394323791474  0.000000000
--- -- -------------------- ------------
 79  2    14472334024676221  0.000000000
 79  3    14472334024676221  0.000000000
 79  4    14472334024676230  0.000000000
--- -- -------------------- ------------
 80  2    23416728348467685  0.000000000
 80  3    23416728348467685  0.000000000
 80  4    23416728348467684  0.000000000
--- -- -------------------- ------------
 81  2    37889062373143906  0.000000000
 81  3    37889062373143906  0.000000000
 81  4    37889062373143888  0.000000000
--- -- -------------------- ------------
 82  2    61305790721611591  0.000000000
 82  3    61305790721611591  0.000000000
 82  4    61305790721611528  0.000000000
--- -- -------------------- ------------
 83  2    99194853094755497  0.000000000
 83  3    99194853094755497  0.000000000
 83  4    99194853094755344  0.000000000
--- -- -------------------- ------------
 84  2   160500643816367088  0.000000000
 84  3   160500643816367088  0.000000000
 84  4   160500643816367872  0.000000000
--- -- -------------------- ------------
 85  2   259695496911122585  0.000000000
 85  3   259695496911122585  0.000000000
 85  4   259695496911123712  0.000000000
--- -- -------------------- ------------
 86  2   420196140727489673  0.000000000
 86  3   420196140727489673  0.000000000
 86  4   420196140727491328  0.000000000
--- -- -------------------- ------------
 87  2   679891637638612258  0.000000000
 87  3   679891637638612258  0.000000000
 87  4   679891637638614656  0.000000000
--- -- -------------------- ------------
 88  2  1100087778366101931  0.000000000
 88  3  1100087778366101931  0.000000000
 88  4  1100087778366105088  0.000000000
--- -- -------------------- ------------
 89  2  1779979416004714189  0.000000000
 89  3  1779979416004714189  0.000000000
 89  4  1779979416004718592  0.000000000
--- -- -------------------- ------------
 90  2  2880067194370816120  0.000000000
 90  3  2880067194370816120  0.000000000
 90  4  2880067194370821120  0.000000000
--- -- -------------------- ------------
 91  2  4660046610375530309  0.000000000
 91  3  4660046610375530309  0.000000000
 91  4  4660046610375536640  0.000000000
--- -- -------------------- ------------
 92  2  7540113804746346429  0.000000000
 92  3  7540113804746346429  0.000000000
 92  4  7540113804746351616  0.000000000
--- -- -------------------- ------------
 93  2 -6246583658587674878  0.000000000
 93  3 -6246583658587674878  0.000000000
 93  4 -9223372036854775808  0.000000000
--- -- -------------------- ------------
 94  2  1293530146158671551  0.000000000
 94  3  1293530146158671551  0.000000000
 94  4 -9223372036854775808  0.000000000
--- -- -------------------- ------------
 95  2 -4953053512429003327  0.000000000
 95  3 -4953053512429003327  0.000000000
 95  4 -9223372036854775808  0.000000000
--- -- -------------------- ------------
 96  2 -3659523366270331776  0.000000000
 96  3 -3659523366270331776  0.000000000
 96  4 -9223372036854775808  0.000000000
--- -- -------------------- ------------
 97  2 -8612576878699335103  0.000000000
 97  3 -8612576878699335103  0.000000000
 97  4 -9223372036854775808  0.000000000
--- -- -------------------- ------------
 98  2  6174643828739884737  0.000000000
 98  3  6174643828739884737  0.000000000
 98  4 -9223372036854775808  0.000000000
--- -- -------------------- ------------
 99  2 -2437933049959450366  0.000000000
 99  3 -2437933049959450366  0.000000000
 99  4 -9223372036854775808  0.000000000
--- -- -------------------- ------------
100  2  3736710778780434371  0.000000000
100  3  3736710778780434371  0.000000000
100  4 -9223372036854775808  0.000000000
--- -- -------------------- ------------
